,1/0,1/1,0.4/0,0.2/0,0.1/0,0.05/0
accuracy,0.5457629793277576,0.5457629793277576,0.5457629793277576,0.5414759875861344,0.5189890063647362,0.4849297774972384
"recall, A chirp",0.18846875308520092,0.18846875308520092,0.18846875308520092,0.18126172376345148,0.1505578043242176,0.1178793563036825
"recall, B chirp",0.2756135093544991,0.2756135093544991,0.2756135093544991,0.2683242893010448,0.22305013363570098,0.14351664371912207
"precision, A chirp",0.9744767738642164,0.980482794042116,0.9744767738642164,0.9734888653234358,0.9682539682539683,0.9778869778869779
"precision, B chirp",0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9531070195627158,0.9555863983344899,0.9532006455083378
"IoU, A chirp",0.1875429806464289,0.18776433559555425,0.1875429806464289,0.18037135278514588,0.14981825326652912,0.11756597085466719
"IoU, B chirp",0.2719571645488692,0.2719571645488692,0.2719571645488692,0.264828137490008,0.22076152304609217,0.1425124658195271
confusion_matrix,"[[0.188 0.008 0.803 0.   ]
 [0.002 0.276 0.723 0.   ]
 [0.002 0.005 0.993 0.   ]
 [0.    0.    0.    0.   ]]","[[0.188 0.008 0.803 0.   ]
 [0.001 0.276 0.723 0.   ]
 [0.002 0.005 0.993 0.   ]
 [0.    0.    0.    0.   ]]","[[0.188 0.008 0.803 0.   ]
 [0.002 0.276 0.723 0.   ]
 [0.002 0.005 0.993 0.   ]
 [0.    0.    0.    0.   ]]","[[0.181 0.008 0.811 0.   ]
 [0.002 0.268 0.73  0.   ]
 [0.002 0.005 0.993 0.   ]
 [0.    0.    0.    0.   ]]","[[0.151 0.006 0.843 0.   ]
 [0.002 0.223 0.775 0.   ]
 [0.002 0.004 0.994 0.   ]
 [0.    0.    0.    0.   ]]","[[0.118 0.004 0.878 0.   ]
 [0.    0.144 0.856 0.   ]
 [0.002 0.003 0.995 0.   ]
 [0.    0.    0.    0.   ]]"
confusion_matrix_nonnorm,"[[ 1909    86  8134     0]
 [   23  3403  8921     0]
 [   27    80 15439     0]
 [    0     0     0     0]]","[[ 1909    86  8134     0]
 [   11  3403  8933     0]
 [   27    80 15439     0]
 [    0     0     0     0]]","[[ 1909    86  8134     0]
 [   23  3403  8921     0]
 [   27    80 15439     0]
 [    0     0     0     0]]","[[ 1836    83  8210     0]
 [   23  3313  9011     0]
 [   27    80 15439     0]
 [    0     0     0     0]]","[[ 1525    63  8541     0]
 [   23  2754  9570     0]
 [   27    65 15454     0]
 [    0     0     0     0]]","[[ 1194    39  8896     0]
 [    1  1772 10574     0]
 [   26    48 15472     0]
 [    0     0     0     0]]"
