,1/0/30,1/0/40,1/0/50,1/0/70,1/0/80,1/0/90,1/0/95,1/15/30,1/15/40,1/15/50,1/15/70,1/15/80,1/15/90,1/15/95,1/20/30,1/20/40,1/20/50,1/20/70,1/20/80,1/20/90,1/20/95,1/25/30,1/25/40,1/25/50,1/25/70,1/25/80,1/25/90,1/25/95,1/28/30,1/28/40,1/28/50,1/28/70,1/28/80,1/28/90,1/28/95,1/29/30,1/29/40,1/29/50,1/29/70,1/29/80,1/29/90,1/29/95,0.4/0/30,0.4/0/40,0.4/0/50,0.4/0/70,0.4/0/80,0.4/0/90,0.4/0/95,0.2/0/30,0.2/0/40,0.2/0/50,0.2/0/70,0.2/0/80,0.2/0/90,0.2/0/95,0.1/0/30,0.1/0/40,0.1/0/50,0.1/0/70,0.1/0/80,0.1/0/90,0.1/0/95,0.05/0/30,0.05/0/40,0.05/0/50,0.05/0/70,0.05/0/80,0.05/0/90,0.05/0/95
accuracy,0.8888888888888888,0.8838383838383839,0.8686868686868687,0.8282828282828283,0.7929292929292929,0.6868686868686869,0.6363636363636364,0.8888888888888888,0.8838383838383839,0.8686868686868687,0.8282828282828283,0.7929292929292929,0.6868686868686869,0.6363636363636364,0.8888888888888888,0.8838383838383839,0.8686868686868687,0.8282828282828283,0.7929292929292929,0.6868686868686869,0.6363636363636364,0.8888888888888888,0.8838383838383839,0.8686868686868687,0.8282828282828283,0.7929292929292929,0.6868686868686869,0.6363636363636364,0.8888888888888888,0.8838383838383839,0.8686868686868687,0.8282828282828283,0.7929292929292929,0.6868686868686869,0.6363636363636364,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.8888888888888888,0.8838383838383839,0.8686868686868687,0.8282828282828283,0.7929292929292929,0.6868686868686869,0.6363636363636364,0.8888888888888888,0.8838383838383839,0.8686868686868687,0.8282828282828283,0.7929292929292929,0.6868686868686869,0.6363636363636364,0.8888888888888888,0.8838383838383839,0.8686868686868687,0.8282828282828283,0.7929292929292929,0.6868686868686869,0.6363636363636364,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
"recall, A chirp",0.7536231884057971,0.7391304347826086,0.6956521739130435,0.5797101449275363,0.5362318840579711,0.37681159420289856,0.3333333333333333,0.7536231884057971,0.7391304347826086,0.6956521739130435,0.5797101449275363,0.5362318840579711,0.37681159420289856,0.3333333333333333,0.7536231884057971,0.7391304347826086,0.6956521739130435,0.5797101449275363,0.5362318840579711,0.37681159420289856,0.3333333333333333,0.7536231884057971,0.7391304347826086,0.6956521739130435,0.5797101449275363,0.5362318840579711,0.37681159420289856,0.3333333333333333,0.7536231884057971,0.7391304347826086,0.6956521739130435,0.5797101449275363,0.5362318840579711,0.37681159420289856,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7536231884057971,0.7391304347826086,0.6956521739130435,0.5797101449275363,0.5362318840579711,0.37681159420289856,0.3333333333333333,0.7536231884057971,0.7391304347826086,0.6956521739130435,0.5797101449275363,0.5362318840579711,0.37681159420289856,0.3333333333333333,0.7536231884057971,0.7391304347826086,0.6956521739130435,0.5797101449275363,0.5362318840579711,0.37681159420289856,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"recall, B chirp",0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.8793103448275862,0.7931034482758621,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.8793103448275862,0.7931034482758621,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.8793103448275862,0.7931034482758621,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.8793103448275862,0.7931034482758621,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.8793103448275862,0.7931034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.8793103448275862,0.7931034482758621,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.8793103448275862,0.7931034482758621,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9655172413793104,0.8793103448275862,0.7931034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A chirp correct,52,51,48,40,37,26,23,52,51,48,40,37,26,23,52,51,48,40,37,26,23,52,51,48,40,37,26,23,52,51,48,40,37,26,23,0,0,0,0,0,0,0,52,51,48,40,37,26,23,52,51,48,40,37,26,23,52,51,48,40,37,26,23,0,0,0,0,0,0,0
A chirp incorrect,17,18,21,29,32,43,46,17,18,21,29,32,43,46,17,18,21,29,32,43,46,17,18,21,29,32,43,46,17,18,21,29,32,43,46,69,69,69,69,69,69,69,17,18,21,29,32,43,46,17,18,21,29,32,43,46,17,18,21,29,32,43,46,69,69,69,69,69,69,69
B chirp correct,57,57,57,57,56,51,46,57,57,57,57,56,51,46,57,57,57,57,56,51,46,57,57,57,57,56,51,46,57,57,57,57,56,51,46,0,0,0,0,0,0,0,57,57,57,57,56,51,46,57,57,57,57,56,51,46,57,57,57,57,56,51,46,0,0,0,0,0,0,0
B chirp incorrect,1,1,1,1,2,7,12,1,1,1,1,2,7,12,1,1,1,1,2,7,12,1,1,1,1,2,7,12,1,1,1,1,2,7,12,58,58,58,58,58,58,58,1,1,1,1,2,7,12,1,1,1,1,2,7,12,1,1,1,1,2,7,12,58,58,58,58,58,58,58
confusion_matrix,"[[0.754 0.188 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.203 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.217 0.058 0.188]
 [0.    0.966 0.017 0.017]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.    0.879 0.017 0.103]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.333 0.217 0.058 0.391]
 [0.    0.793 0.017 0.19 ]
 [0.028 0.028 0.803 0.141]
 [0.    0.    0.    0.   ]]","[[0.754 0.188 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.203 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.217 0.058 0.188]
 [0.    0.966 0.017 0.017]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.    0.879 0.017 0.103]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.333 0.217 0.058 0.391]
 [0.    0.793 0.017 0.19 ]
 [0.028 0.028 0.803 0.141]
 [0.    0.    0.    0.   ]]","[[0.754 0.188 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.203 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.217 0.058 0.188]
 [0.    0.966 0.017 0.017]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.    0.879 0.017 0.103]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.333 0.217 0.058 0.391]
 [0.    0.793 0.017 0.19 ]
 [0.028 0.028 0.803 0.141]
 [0.    0.    0.    0.   ]]","[[0.754 0.188 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.203 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.217 0.058 0.188]
 [0.    0.966 0.017 0.017]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.    0.879 0.017 0.103]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.333 0.217 0.058 0.391]
 [0.    0.793 0.017 0.19 ]
 [0.028 0.028 0.803 0.141]
 [0.    0.    0.    0.   ]]","[[0.754 0.188 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.203 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.217 0.058 0.188]
 [0.    0.966 0.017 0.017]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.    0.879 0.017 0.103]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.333 0.217 0.058 0.391]
 [0.    0.793 0.017 0.19 ]
 [0.028 0.028 0.803 0.141]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0.754 0.188 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.203 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.217 0.058 0.188]
 [0.    0.966 0.017 0.017]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.    0.879 0.017 0.103]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.333 0.217 0.058 0.391]
 [0.    0.793 0.017 0.19 ]
 [0.028 0.028 0.803 0.141]
 [0.    0.    0.    0.   ]]","[[0.754 0.188 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.203 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.217 0.058 0.188]
 [0.    0.966 0.017 0.017]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.    0.879 0.017 0.103]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.333 0.217 0.058 0.391]
 [0.    0.793 0.017 0.19 ]
 [0.028 0.028 0.803 0.141]
 [0.    0.    0.    0.   ]]","[[0.754 0.188 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.739 0.203 0.058 0.   ]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.696 0.217 0.058 0.029]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.58  0.217 0.058 0.145]
 [0.    0.983 0.017 0.   ]
 [0.028 0.028 0.944 0.   ]
 [0.    0.    0.    0.   ]]","[[0.536 0.217 0.058 0.188]
 [0.    0.966 0.017 0.017]
 [0.028 0.028 0.901 0.042]
 [0.    0.    0.    0.   ]]","[[0.377 0.217 0.058 0.348]
 [0.    0.879 0.017 0.103]
 [0.028 0.028 0.831 0.113]
 [0.    0.    0.    0.   ]]","[[0.333 0.217 0.058 0.391]
 [0.    0.793 0.017 0.19 ]
 [0.028 0.028 0.803 0.141]
 [0.    0.    0.    0.   ]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]","[[0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]]"
confusion_matrix_nonnorm,"[[52 13  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[51 14  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[37 15  4 13]
 [ 0 56  1  1]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 0 51  1  6]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[23 15  4 27]
 [ 0 46  1 11]
 [ 2  2 57 10]
 [ 0  0  0  0]]","[[52 13  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[51 14  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[37 15  4 13]
 [ 0 56  1  1]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 0 51  1  6]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[23 15  4 27]
 [ 0 46  1 11]
 [ 2  2 57 10]
 [ 0  0  0  0]]","[[52 13  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[51 14  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[37 15  4 13]
 [ 0 56  1  1]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 0 51  1  6]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[23 15  4 27]
 [ 0 46  1 11]
 [ 2  2 57 10]
 [ 0  0  0  0]]","[[52 13  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[51 14  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[37 15  4 13]
 [ 0 56  1  1]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 0 51  1  6]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[23 15  4 27]
 [ 0 46  1 11]
 [ 2  2 57 10]
 [ 0  0  0  0]]","[[52 13  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[51 14  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[37 15  4 13]
 [ 0 56  1  1]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 0 51  1  6]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[23 15  4 27]
 [ 0 46  1 11]
 [ 2  2 57 10]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[52 13  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[51 14  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[37 15  4 13]
 [ 0 56  1  1]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 0 51  1  6]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[23 15  4 27]
 [ 0 46  1 11]
 [ 2  2 57 10]
 [ 0  0  0  0]]","[[52 13  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[51 14  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[37 15  4 13]
 [ 0 56  1  1]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 0 51  1  6]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[23 15  4 27]
 [ 0 46  1 11]
 [ 2  2 57 10]
 [ 0  0  0  0]]","[[52 13  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[51 14  4  0]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[48 15  4  2]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[40 15  4 10]
 [ 0 57  1  0]
 [ 2  2 67  0]
 [ 0  0  0  0]]","[[37 15  4 13]
 [ 0 56  1  1]
 [ 2  2 64  3]
 [ 0  0  0  0]]","[[26 15  4 24]
 [ 0 51  1  6]
 [ 2  2 59  8]
 [ 0  0  0  0]]","[[23 15  4 27]
 [ 0 46  1 11]
 [ 2  2 57 10]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]","[[ 0  0 69  0]
 [ 0  0 58  0]
 [ 0  0 71  0]
 [ 0  0  0  0]]"
